issue,encoded_time,bigSmall,oddEven,ai_predict_bigSmall,ai_predict_oddEven,wrong_ai_bigSmall,correction_predict_bigSmall,wrong_correction_bigSmall,wrong_ai_oddEven,correction_predict_oddEven,wrong_correction_oddEven
202310180525,19/10/2023 00:30:05,Big,Odd,Small,Even,0,Small,0,0,Even,0
202310180524,19/10/2023 00:28:04,Big,Even,Big,Odd,1,Big,1,1,Odd,1
202310180523,19/10/2023 00:26:07,Small,Odd,Small,Odd,0,Small,0,0,Odd,0
202310180522,19/10/2023 00:24:06,Small,Even,Small,Odd,1,Small,1,0,Odd,0
202310180521,19/10/2023 00:22:06,Small,Even,Big,Even,0,Big,0,0,Even,4
202310180520,19/10/2023 00:20:06,Small,Odd,Small,Even,0,Small,0,2,Odd,3
202310180519,19/10/2023 00:18:06,Big,Odd,Small,Even,1,Small,1,1,Even,2
202310180518,19/10/2023 00:16:06,Big,Even,Small,Even,0,Small,0,0,Even,1
202310180517,19/10/2023 00:14:05,Small,Even,Big,Even,0,Big,3,6,Odd,0
202310180516,19/10/2023 00:12:05,Big,Odd,Small,Odd,2,Big,2,5,Even,0
202310180515,19/10/2023 00:10:05,Small,Even,Small,Even,1,Small,1,4,Odd,0
202310180514,19/10/2023 00:08:04,Big,Odd,Big,Odd,0,Big,0,3,Even,0
202310180513,19/10/2023 00:06:07,Big,Odd,Big,Even,0,Big,0,2,Odd,8
202310180512,19/10/2023 00:04:07,Small,Odd,Big,Even,1,Big,1,1,Even,7
202310180511,19/10/2023 00:02:07,Big,Even,Big,Even,0,Big,0,0,Even,6
202310180510,19/10/2023 00:00:06,Small,Odd,Big,Even,1,Big,1,2,Odd,5
202310180509,18/10/2023 23:58:06,Small,Even,Big,Even,0,Big,0,1,Even,4
202310180508,18/10/2023 23:56:06,Small,Even,Small,Odd,0,Small,0,0,Odd,3
202310180507,18/10/2023 23:54:06,Small,Even,Small,Even,1,Small,1,2,Odd,2
202310180506,18/10/2023 23:52:05,Big,Even,Big,Odd,0,Big,0,1,Odd,1
202310180505,18/10/2023 23:50:05,Small,Odd,Big,Odd,0,Big,0,0,Odd,0
202310180504,18/10/2023 23:48:07,Big,Odd,Small,Odd,0,Small,1,0,Odd,4
202310180503,18/10/2023 23:46:07,Small,Odd,Big,Odd,3,Small,0,2,Even,3
202310180502,18/10/2023 23:44:07,Big,Odd,Big,Even,2,Small,2,1,Even,2
202310180501,18/10/2023 23:42:07,Small,Even,Small,Even,1,Small,1,0,Even,1
202310180500,18/10/2023 23:40:06,Small,Even,Big,Even,0,Big,0,4,Odd,0
202310180499,18/10/2023 23:38:06,Big,Even,Small,Odd,1,Small,1,3,Even,0
202310180498,18/10/2023 23:36:06,Small,Odd,Small,Odd,0,Small,0,2,Even,2
202310180497,18/10/2023 23:34:06,Big,Even,Small,Even,0,Small,0,1,Even,1
202310180496,18/10/2023 23:32:05,Small,Odd,Big,Odd,1,Big,1,0,Odd,0
202310180495,18/10/2023 23:30:05,Big,Odd,Big,Odd,0,Big,0,0,Odd,1
202310180494,18/10/2023 23:28:05,Big,Odd,Big,Odd,0,Big,0,3,Even,0
202310180493,18/10/2023 23:26:05,Big,Odd,Big,Even,0,Big,3,2,Odd,2
202310180492,18/10/2023 23:24:08,Small,Odd,Big,Even,2,Small,2,1,Even,1
202310180491,18/10/2023 23:22:07,Big,Even,Big,Even,1,Big,1,0,Even,0
202310180490,18/10/2023 23:20:07,Big,Even,Small,Even,0,Small,0,0,Even,0
202310180489,18/10/2023 23:18:06,Small,Odd,Big,Even,0,Big,0,1,Even,4
202310180488,18/10/2023 23:16:06,Small,Even,Small,Even,1,Small,1,0,Even,3
202310180487,18/10/2023 23:14:06,Big,Even,Big,Even,0,Big,0,2,Odd,2
202310180486,18/10/2023 23:12:05,Small,Odd,Big,Odd,1,Big,1,1,Odd,1
202310180485,18/10/2023 23:10:05,Big,Even,Big,Even,0,Big,0,0,Even,0
